1. What is the cooling off period for returning the policy?	3b954cae9c18964139fa5ab05b75d434_16	You can contact us to return the policy within	 	057d9148a4d1cb46a710f73fcd3bbd60_20	You can contact us to return the policy within 21 days from the start date of your policy (including on renewal). This is called the cooling off period. As long as you have not made a claim during this period, we will refund in full the money you paid for your policy (including GST if applicable), but you will not have any cover under the policy. Alternatively, you can cancel your policy at any time while you are insured. When you do this, unless we tell you otherwise, you will have cover up until the date and time of cancellation. For more information see ‘What happens with cancellations’ on page 98.	 	3b954cae9c18964139fa5ab05b75d434_13	1 Before we get into the specifics of your policy there are important things to know upfront. This includes information about your contract with us, communicating with you electronically, information about your cooling off period, your responsibilities, when you must contact us about changes and the excesses that apply when you make a claim.	 	3af88a63f05df2c5d387acf8526300f0_112	After you purchase this policy you have 21 days to consider the information in your PDS. This is called the ‘cooling off period’. If you decide to cancel your policy during the cooling off period, we will refund the unexpired portion of the premium less any non refundable government charges provided that you have not commenced your journey or made a claim. We can only cancel your policy by giving you written notice in accordance with the Insurance Contracts Act 1984.	 	b360796b8bf23b6211357b28da834eef_90	We offer a 30-day money-back guarantee, giving you time to review your policy, and make sure it’s the right one for you. This is commonly referred to as a cooling-off period. If you cancel your policy within 30 days of the cover commencement date and you haven’t made a claim, we’ll refund the premium you’ve paid. You can cancel your policy at any time after the cooling-off period. Cancellation is effective immediately upon your request, which means you’re no longer covered after that. If you’ve paid an annual premium and cancel your cover during the year, we’ll refund the unused portion of the premium you paid.	 
2. How will policy documents and policy related communications be sent?	3b954cae9c18964139fa5ab05b75d434_15	We may send your policy documents and policy related communications electronically. This will be by email and/or other types of electronic communication (e.g. SMS). We will obtain your express or inferred consent to do so. Each electronic communication will be deemed to be received by you at the time it leaves our information system.	 	3af88a63f05df2c5d387acf8526300f0_113	We may agree to send your policy documents and policy related communications electronically. This will be by email and/or other types of electronic communication methods. Policy documents and policy communications will be provided to you in this way or we tell you it is no longer suitable. If we agree to communicate with you electronically, you will need to provide us with your current email address and your Australian mobile phone number. Each electronic communication will be deemed to be received by you at the time it leaves our information system.	 	057d9148a4d1cb46a710f73fcd3bbd60_19	If you buy this product from us, your contract of insurance is made up of your certificate of insurance, this PDS and any SPDS that we have given you. Communicating with you electronically We may send your policy documents and policy related communications electronically. This will be by email and/or other types of electronic communication (e.g. SMS). We will obtain your express or inferred consent to do so. Each electronic communication will be deemed to be received by you at the time it leaves our information system.	 	b360796b8bf23b6211357b28da834eef_89	All correspondence and notices about your policy will be sent to the email address you give to us unless you ask to receive this information in the post. You can nominate at any time to receive your policy correspondence by post instead of email. You should save or print a copy of any information or documents that we email to you and keep these in a safe place so that you can always refer to them. Some documents, such as your policy schedule, may be required in the event of a claim.	 	b360796b8bf23b6211357b28da834eef_23	If a life insured is covered under more than one policy issued by TAL, or any of its related companies, including a: 1. TAL Life life insurance policy; and/or 2. life insurance policy under a Suncorp Group brand (Suncorp, AAMI, GIO); the maximum total benefit that can be paid under all term life policies issued by TAL and any of its related companies is $1,700,000 plus any increases due to inflation protection.	 
3. Can the policy be cancelled at any time?	b360796b8bf23b6211357b28da834eef_90	We offer a 30-day money-back guarantee, giving you time to review your policy, and make sure it’s the right one for you. This is commonly referred to as a cooling-off period. If you cancel your policy within 30 days of the cover commencement date and you haven’t made a claim, we’ll refund the premium you’ve paid. You can cancel your policy at any time after the cooling-off period. Cancellation is effective immediately upon your request, which means you’re no longer covered after that. If you’ve paid an annual premium and cancel your cover during the year, we’ll refund the unused portion of the premium you paid.	 	3b954cae9c18964139fa5ab05b75d434_18	This is called the cooling off period. As long as you have not made a claim during this period, we will refund in full the money you paid for your policy (including GST if applicable), but you will not have any cover under the policy. Alternatively, you can cancel your policy at any time while you are insured. When you do this, unless we tell you otherwise, you will have cover up to the date and time of cancellation. For more information see ‘What happens with cancellations’ on page 66.	 	057d9148a4d1cb46a710f73fcd3bbd60_20	You can contact us to return the policy within 21 days from the start date of your policy (including on renewal). This is called the cooling off period. As long as you have not made a claim during this period, we will refund in full the money you paid for your policy (including GST if applicable), but you will not have any cover under the policy. Alternatively, you can cancel your policy at any time while you are insured. When you do this, unless we tell you otherwise, you will have cover up until the date and time of cancellation. For more information see ‘What happens with cancellations’ on page 98.	 	b360796b8bf23b6211357b28da834eef_71	To ensure your cover continues you must pay your premiums when due. If you don’t pay the premium when due or the premium deduction from your account can’t be made, then: • if the unpaid premium is the first premium, the policy will be cancelled and treated as if it had not existed at all. • if the unpaid premium is a premium other than the first premium, we will allow 30 days from the due date to make this payment. If we have not received payment by this time, we will send you a notice telling you that we will cancel your policy if the premium then due is not paid by the date shown in the notice. This date will be at least 28 days from the date of the giving of this notice. If you do not pay the premium by that date, we will cancel the policy. • if any benefit under the policy becomes payable, any unpaid premium due to us will be deducted from the benefit paid to you. No benefit will be paid for insured events occurring after this policy is cancelled.	 	057d9148a4d1cb46a710f73fcd3bbd60_212	You may cancel this policy at any time. For each building cover cancelled, you will be refunded the unexpired portion of the premium attributable to that building cover (including GST if applicable), less any non-refundable government charges. We will not give a refund if the refund is less than $10 (GST inclusive). If you pay by instalments, on cancellation you agree to pay us any portion of the premium that is owing but not yet paid and that amount is due and payable.	 
4. What are the exclusions, conditions and limits that apply to the policy?	3b954cae9c18964139fa5ab05b75d434_19	Like every insurance policy, there are exclusions, conditions and limits that apply to your policy. There are some things we don’t cover whatever the circumstances, these are found in section 3 ‘Things we don’t cover’ on pages 17 to 24. There are also specific things we don’t cover explained in sections 4 to 6 on pages 25 to 44 which are particular to the cover provided under your policy. In this PDS we use and icons to help describe what’s covered and what’s not covered.	 	3b954cae9c18964139fa5ab05b75d434_7	Limits, conditions and exclusions apply. Read your policy for full details.	 	057d9148a4d1cb46a710f73fcd3bbd60_9	We do not insure you for bushfire, storm, storm surge, flood or tsunami in the f irst 72 hours of your policy. Very limited exceptions apply. For full details see section 3 ‘Things we don’t cover’ on page 26.	 	b360796b8bf23b6211357b28da834eef_98	It is important that you read the policy schedule to confirm the details are correct and to note any special conditions or exclusions which may apply to this policy.	 	057d9148a4d1cb46a710f73fcd3bbd60_5	Limits, conditions and exclusions apply. Read your policy for full details. We cover specific events like storm, fire (including bushfire), escape of liquid and impact.	 
5. Are there specific things that are not covered under the policy?	3b954cae9c18964139fa5ab05b75d434_43	3 There are some things we don’t cover under your policy and we want to be upfront about this. Remember, there are also specific things we don’t cover in sections 4 to 6, on pages 25 to 44.	 	3b954cae9c18964139fa5ab05b75d434_19	Like every insurance policy, there are exclusions, conditions and limits that apply to your policy. There are some things we don’t cover whatever the circumstances, these are found in section 3 ‘Things we don’t cover’ on pages 17 to 24. There are also specific things we don’t cover explained in sections 4 to 6 on pages 25 to 44 which are particular to the cover provided under your policy. In this PDS we use and icons to help describe what’s covered and what’s not covered.	 	057d9148a4d1cb46a710f73fcd3bbd60_50	This page has been left blank intentionally There are some things we don’t cover under your policy and we want to be upfront about this. Remember, there are also specific things we don’t cover in sections 4 to 6 see pages 37 to 70.	 	057d9148a4d1cb46a710f73fcd3bbd60_17	1 4. What we cover – the details 5. Additional cover that comes with your policy 6. Optional cover you can pay extra for 7. Making a claim 8. How we settle claims – some examples 37 87 9. Important things to know – our contract with you 10. What to do if you have a complaint and other important information 11. 103 In this PDS you will be referred to the Home Building Insurance Additional Information Guide. This guide is available at aami.com.au and contains further information about premiums, excesses and discounts. Please contact us for a free copy. Some words in this policy have special meanings. Most of the words with special meanings are defined in section 11 ‘Words with special meanings’ on page 103. Before we get into the specifics of your policy there are important things to know upfront. This includes information about your contract with us, communicating with you electronically, information about your cooling off period, your responsibilities and when you need to contact us, y	 	3b954cae9c18964139fa5ab05b75d434_13	1 Before we get into the specifics of your policy there are important things to know upfront. This includes information about your contract with us, communicating with you electronically, information about your cooling off period, your responsibilities, when you must contact us about changes and the excesses that apply when you make a claim.	 
6. How can the customer get extra support or assistance in dealing with the insurer?	3b954cae9c18964139fa5ab05b75d434_20	Sometimes your circumstances might mean you need additional support or assistance in dealing with us. This could be due to your physical or mental health, family or inancial f situation or cultural background. If you are comfortable, you can tell us about your situation and we will work with you to arrange support. 10	 	057d9148a4d1cb46a710f73fcd3bbd60_24	Sometimes your circumstances might mean you need additional support or assistance in dealing with us. This could be due to your physical or mental health, family or f inancial situation or cultural background. If you are comfortable, you can tell us about your situation and we will work with you to arrange support. During the period of insurance you must tell us as soon as possible if: • you have been charged with or convicted of, a criminal act or offence; • you have had another insurer cancel or decline an insurance policy, impose specific conditions on a policy or refuse a claim; • you start to operate or intend to operate a business activity at the insured address; • you start farming, manufacturing or undertaking repair work at or from the insured address;	 	b360796b8bf23b6211357b28da834eef_101	We have adopted the Life Insurance Code of Practice (the Code) which sets out the life insurance industry’s key commitments and obligations to customers on standards of practice, disclosure and principles of conduct for their life insurance services, such as being open, fair and honest. It also sets out timeframes for life insurers to respond to claims, complaints and requests for information from customers. The Code covers many aspects of a customer’s relationship with their life insurer, from buying life insurance to making a claim, to providing options to those experiencing f inancial hardship or requiring additional support. More information can be found at aami.com.au/contact/code-of-practice Contacting us	 	057d9148a4d1cb46a710f73fcd3bbd60_219	If we are not able to resolve your complaint or you would prefer not to contact the people who provided your initial service, our Customer Relations team can assist: We expect our procedures will deal fairly and promptly with your complaint. However, if you remain dissatisfied, you may be able to access the services of the Australian Financial Complaints Authority (AFCA). AFCA provides fair and independent financial services complaint resolution that is free to consumers. Any determination AFCA makes is binding on us, provided you also accept the determination. You do not have to accept their determination and you have the option of seeking remedies elsewhere. AFCA has authority to hear certain complaints. Contact AFCA to confirm if they can assist you. You can contact AFCA: By phone: By email: In writing: 1300 240 437 idr@aami.com.au AAMI Customer Relations Team, PO Box 14180, Melbourne City Mail Centre VIC 8001 By phone: By email: In writing: 1800 931 678 info@afca.org.au Australian 	 	3af88a63f05df2c5d387acf8526300f0_114	We support the General Insurance Code of Practice. You can get a copy of the code from the Insurance Council of Australia website (insurancecouncil.com.au) or by phoning (02) 9253 5100.	 
7. What is the process for making a claim under the policy?	b360796b8bf23b6211357b28da834eef_76	AAMI Life Insurance helps take the financial difficulty out of what can be a very stressful time. That’s why we’ve kept the process as straightforward as possible. To claim a benefit, we require claim documentation in support of benefit entitlement. We may ask for additional information to ensure that the terms and conditions of the policy as set out in this PDS are satisfied.	 	3b954cae9c18964139fa5ab05b75d434_11	1. Important things to know upfront 9 2. What we cover – the basics 15 3. Things we don’t cover 17 4. What we cover – the details 5. Additional cover that comes with your policy 6. Optional cover that you can pay extra for 7. Making a claim 8. How we settle claims – some examples 25 29 41 45 55 9. Important things to know – our contract with you 63 10. What to do if you have a complaint and other important information 67 11. Words with special meanings 71 Motor Vehicle Insurance and Repair Industry Code of Conduct In line with our requirements under this code on our repair process see ‘Your repair (We choose the repairer)’ on page 48 and ‘Our parts policy for authorised repairs’ on page 49. In this PDS you will be referred to the Car Insurance Additional Information Guide. This guide is available at aami.com.au and contains further information about premiums, excesses, rewards and discounts. Please contact us for a free copy. Some words in this policy have special meanings. Most of the	 	3b954cae9c18964139fa5ab05b75d434_103	We want to be there for you in your times of need. In this section we set out how we help you when you make a claim.	 	b360796b8bf23b6211357b28da834eef_77	If you or your legal representative need to make a claim, please contact us on 1300 450 322 as soon as you can. We strongly encourage you to contact us at the earliest possible opportunity. A delay in notifying us may mean it could take longer for us to process your claim, as it may be difficult for us to access the information we need to finalise our decision. You or your legal representative will need to provide us with claim details and our claims staff will provide you with a list of all requirements needed to assess your claim. We will help you understand the claims process, what to expect for the assessment of your claim and to make the claim as easy as possible for you. AAMI Life Insurance Claims Telephone: Email: In writing: 1300 450 322 claims@aamilifeinsurance.com.au AAMI Life Insurance Claims Department Reply Paid GPO Box 5380 Sydney NSW 2001	 	057d9148a4d1cb46a710f73fcd3bbd60_3	By choosing AAMI you can: This policy provides cover for loss or damage to your home (the building). Manage your policy using our AAMI App or online We do not cover the building for all types of loss or damage. We do not cover your contents. Make a claim 24/7 by calling 13 22 44, using our AAMI App or online If you also want cover for your contents you might like to consider AAMI Home Contents Insurance. Call on 13 22 44 or chat with us online with the AAMI Virtual Assistant for extra support	 
8. What is the definition of a disaster under the policy?	3b954cae9c18964139fa5ab05b75d434_88	Insurance for your hire car After arranging a hire car for you with our provider, we will cover accidental loss or damage to the hire car under this policy during the covered hire period as if the definition of ‘car’ in the policy had been extended to include the hire car. However, cover for loss or damage to the hire car is limited to the market value of the hire car.	 	3af88a63f05df2c5d387acf8526300f0_135	means: an event caused by natural phenomenon and not human activity. For example: earthquake, flood, bushfire, storm or lightning.	 	057d9148a4d1cb46a710f73fcd3bbd60_187	 	 	3b954cae9c18964139fa5ab05b75d434_133	 	 	3af88a63f05df2c5d387acf8526300f0_19	You are not covered under any section of the policy for loss, cost or liability caused by or arising from or involving a pre-existing medical condition of a relative or business partner. The relevant definition of pre-existing medical conditions is on page 39. We may require medical reports and medical history for your claims triggered by the health of a relative or business partner in order to assess your claim.	 
9. What is the maximum amount payable under the policy for a disaster?	b360796b8bf23b6211357b28da834eef_22	A lump sum benefit is payable in the event of the death of a life insured, or their diagnosis with a terminal illness. All Australian residents aged 18 to 65 are eligible to apply. A benefit amount of up to $1,500,000 is available per life insured, subject to meeting underwriting criteria. The maximum benefit amount that can result after inflation protection is $2,500,000.	 	b360796b8bf23b6211357b28da834eef_23	If a life insured is covered under more than one policy issued by TAL, or any of its related companies, including a: 1. TAL Life life insurance policy; and/or 2. life insurance policy under a Suncorp Group brand (Suncorp, AAMI, GIO); the maximum total benefit that can be paid under all term life policies issued by TAL and any of its related companies is $1,700,000 plus any increases due to inflation protection.	 	3b954cae9c18964139fa5ab05b75d434_175	when used in relation to your car, it means the maximum amount we will pay for loss or damage to your car in any one incident, unless we say otherwise in your policy. It includes the value of any accessories and modifications that are fitted to your car, registration and compulsory third party/motor accident injuries insurance. Deductions may apply, see page 51 for amounts that are deducted on a total loss settlement. The amount covered is shown on your certificate of insurance or otherwise in this policy and includes GST.	 	b360796b8bf23b6211357b28da834eef_18	Life insurance can be a simple, cost-effective way to help your family manage the financial impacts of your passing. For the cost of the premiums each year, they’ll have access to a lump sum cash payout to financially help keep their lives on track when you’re no longer around. There are no hidden fees and charges with AAMI Life Insurance. You’ll know exactly what you’re paying for. You can get discounts for higher levels of cover and a family discount when adding a partner to your policy (maximum two people per policy). Upon approval of a death claim, an advance payment of up to $10,000 can be made available to assist with the immediate l egal and other expenses that are likely to arise, with the balance of the benefit amount payable once the claim is accepted by us.	 	b360796b8bf23b6211357b28da834eef_92	We understand that circumstances change, and you may need to make changes to your cover. You may be able to make the following changes: • update your contact details; • add or remove a life insured; • increase or decrease your benefit amount; • add or remove optional cover; • change the premium frequency or the date we debit your bank account or credit card; and • change how you pay your premiums. You may increase the Comprehensive Life Cover benefit amount for each life insured up to the maximum amount prior to the life insured reaching 65 years of age, subject to the life insured satisfying health and lifestyle criteria, or under a significant life changing event. You may increase the Optional Illness Covers benefit amount for each life insured up to the maximum amount prior to the life insured reaching 55 years of age, subject to the life insured satisfying health and lifestyle criteria. Premiums for the increased portion of cover will be based on the premium rate applying to the li	 
10. How long does the customer have to notify the insurer of a claim?	b360796b8bf23b6211357b28da834eef_101	We have adopted the Life Insurance Code of Practice (the Code) which sets out the life insurance industry’s key commitments and obligations to customers on standards of practice, disclosure and principles of conduct for their life insurance services, such as being open, fair and honest. It also sets out timeframes for life insurers to respond to claims, complaints and requests for information from customers. The Code covers many aspects of a customer’s relationship with their life insurer, from buying life insurance to making a claim, to providing options to those experiencing f inancial hardship or requiring additional support. More information can be found at aami.com.au/contact/code-of-practice Contacting us	 	b360796b8bf23b6211357b28da834eef_77	If you or your legal representative need to make a claim, please contact us on 1300 450 322 as soon as you can. We strongly encourage you to contact us at the earliest possible opportunity. A delay in notifying us may mean it could take longer for us to process your claim, as it may be difficult for us to access the information we need to finalise our decision. You or your legal representative will need to provide us with claim details and our claims staff will provide you with a list of all requirements needed to assess your claim. We will help you understand the claims process, what to expect for the assessment of your claim and to make the claim as easy as possible for you. AAMI Life Insurance Claims Telephone: Email: In writing: 1300 450 322 claims@aamilifeinsurance.com.au AAMI Life Insurance Claims Department Reply Paid GPO Box 5380 Sydney NSW 2001	 	3b954cae9c18964139fa5ab05b75d434_23	During the period of insurance you must tell us as soon as possible if: • you or anyone who is likely to drive your car has their driver licence cancelled, suspended, disqualified or restricted; • you or any person who is likely to drive your car has been charged with or convicted of, a criminal act or offence; • you have had another insurer cancel or decline an insurance policy, impose specific conditions on a policy or refuse a claim; • any details on your certificate of insurance are no longer accurate and complete, including but not limited to your car (see ‘When you replace your car’ on page 12) or the address where you keep your car changes;	 	b360796b8bf23b6211357b28da834eef_122	TAL Direct is acting for itself when it provides a financial service. When our representatives provide general financial product advice, or arrange for the insurer to issue policies, they act for TAL Direct. TAL Direct has been authorised under an arrangement called a ‘binder’: • by TAL Life, for life cover; to: • enter into, vary or cancel insurance cover; and • until 8 December 2021, manage, administer and settle claims; on behalf of the insurer as if it was the insurer. This means that TAL Direct is acting for the insurer in these circumstances. From 9 December 2021, TAL Direct will cease to manage, administer and settle claims on behalf of the insurer. TAL Direct’s authority is subject to the limits of authority agreed to with this insurer. The insurer’s registered address is: • TAL Life Limited, Level 16, 363 George Street, Sydney NSW 2000	 	3af88a63f05df2c5d387acf8526300f0_155	This policy may be a ‘protected policy’ under the Federal Government’s Financial Claims Scheme (FCS) which is administered by the Australian Prudential Regulation Authority (APRA). The FCS only applies in the unlikely event of an insurer becoming insolvent and the Federal Treasurer making a declaration that the FCS will apply to that insurer. The FCS entitles certain persons, who have valid claims connected with certain protected policies issued by that insurer to be paid certain amounts by APRA. Information about the FCS can be obtained at www.fcs.gov.au. This page has been left blank intentionally.	 
